,stardate,color,name,species,position,rank,designation,description,source,color_group
40,2266,#62749A,"Tormolen, Joe",Human,Science officer,Lieutenant junior grade,Other/No Designation,"Stabbed himself, exacerbated from polywater intoxication","TOS: ""The Naked Time""",Green/Blue
41,2267,#A01502,Carlisle,Human,Security officer,Lieutenant,Other/No Designation,Killed by Nomad,"TOS: ""The Changeling""",Red
42,2267,#B59C5A,Gaetano,Human,Radiation specialist,Lieutenant,Other/No Designation,Killed by a Taurus II anthropoid,"TOS: ""The Galileo Seven""",Yellow
43,2267,#62749A,"Galway, Arlene",Human,Science Officer,Lieutenant,Other/No Designation,Died of rapid aging caused by radiation,"TOS: ""The Deadly Years""",Green/Blue
44,2267,#A01502,Grant,Human,Security Officer,Lieutenant,Other/No Designation,Stabbed with a Capellan kleegat for showing hostility,"TOS: ""Friday's Child""",Red
45,2267,#A01502,Hendorff,Human,Security Officer,Crewman,Other/No Designation,Poisoned by contact with a Gamma Trianguli VI pod plant,"TOS: ""The Apple""",Red
46,2267,#B59C5A,Jackson,Human,,Lieutenant,Other/No Designation,"Killed by Sylvia using ""sympathetic magic""","TOS: ""Catspaw""",Yellow
47,2267,#A01502,Kaplan,Human,Security Officer,Lieutenant,Other/No Designation,Vaporized when struck by lightning created by Vaal,"TOS: ""The Apple""",Red
48,2267,#B59C5A,Lang,Human,Tactical Officer,Lieutenant Commander,Other/No Designation,Killed by Gorn soldiers on Cestus III,"TOS: ""Arena""",Yellow
49,2267,#B59C5A,Latimer,Human,Navigator,Lieutenant,Other/No Designation,Killed by a Taurus II anthropoid,"TOS: ""The Galileo Seven""",Yellow
50,2267,#A01502,Mallory,Human,Security Officer,Lieutenant,Other/No Designation,Died after stepping on an Explosive mineral formation,"TOS: ""The Apple""",Red
51,2267,#A01502,Marple,Human,Security Officer,Lieutenant,Other/No Designation,Killed by the Vaalians,"TOS: ""The Apple""",Red
52,2267,#A01502,O'Herlihy,Human,Tactical Officer,Ensign,Other/No Designation,Killed by Gorn soldiers on Cestus III,"TOS: ""Arena""",Red
53,2267,Unknown/Other,O'Neill,,,Ensign,Other/No Designation,Killed by Taurus II anthropoids,"TOS: ""The Galileo Seven""",Unknown/Other
54,2267,#62749A,"Tracy, Karen",Human,Medical technician,Lieutenant,Other/No Designation,Stabbed to death by Redjac,"TOS: ""Wolf in the Fold""",Green/Blue
55,2267,#A01502,Kelly,Human,Security officer,Crewman,Other/No Designation,Killed by a Horta's acid,"TOS: ""The Devil in the Dark""",Red
56,2267,#A01502,Unidentified,Human,Security Officer,Lieutenant,Other/No Designation,Killed by Nomad,"TOS: ""The Changeling""",Red
57,2267,#A01502,Unidentified,Human,Security Officer,Lieutenant,Other/No Designation,Killed by Nomad,"TOS: ""The Changeling""",Red
58,2267,#A01502,Unidentified,Human,Security Officer,Lieutenant,Other/No Designation,Killed by Nomad,"TOS: ""The Changeling""",Red
59,2268,#A01502,Compton,Human,,Crewman,Other/No Designation,Died from a small wound that turned fatal due to him experiencing hyper-acceleration,"TOS: ""Wink of an Eye""",Red
60,2268,#62749A,D'Amato,Human,Geologist,Lieutenant,Other/No Designation,Killed by Losira,"TOS: ""That Which Survives""",Green/Blue
61,2268,#A01502,Harper,Human,Engineer,Ensign,Other/No Designation,Vaporized by the M-5 computer,"TOS: ""The Ultimate Computer""",Red
62,2268,#A01502,Rizzo,Human,Security Officer,Ensign,Other/No Designation,Died aboard the Enterprise as a result of the dikironium cloud creature's attack,"TOS: ""Obsession""",Red
63,2268,#A01502,"Thompson, Leslie",Human,,Crewman,Other/No Designation,"Transformed into a crystalline block by Rojan; Rojan then crumbled the block, killing her","TOS: ""By Any Other Name""",Red
64,2268,#A01502,"Watkins, John B.",Human,Technician,Crewman,Other/No Designation,Killed by Losira,"TOS: ""That Which Survives""",Red
65,2268,#A01502,Watson,Human,Engineer,Crewman,Other/No Designation,Killed by Kryton,"TOS: ""Elaan of Troyius""",Red
66,2268,#A01502,Wyatt,Human,Transporter Chief,Ensign,Other/No Designation,Killed by Losira,"TOS: ""That Which Survives""",Red
67,2268,#A01502,Unidentified,Human,Security Officer,Crewman,Other/No Designation,Killed by the dikironium cloud creature,"TOS: ""Obsession""",Red
68,2268,#A01502,Unidentified,Human,Security Officer,Crewman,Other/No Designation,Killed by the dikironium cloud creature,"TOS: ""Obsession""",Red
69,2268,#A01502,Unidentified,Humans,Two Security officers,Crewmen,Other/No Designation,"Were beamed down to Triacus; however, since the Enterprise had left the orbit of the planet, these men died","TOS: ""And the Children Shall Lead""",Red
70,2270s,#FFFFFF,"Decker, Will",Human,Commanding officer / First officer,Other/No Rank,Other/No Designation,Merged with V'Ger; listed as MIA,Star Trek: The Motion Picture,White
71,2270s,#FFFC00,Ilia,Deltan,Navigator,Lieutenant,Other/No Designation,Replaced by V'Ger; listed as MIA,Star Trek: The Motion Picture,Yellow
72,2270s,#FE0100,Sonak,Vulcan,Science officer,Commander,Other/No Designation,Killed in a transporter accident,Star Trek: The Motion Picture,Red
73,2270s,transparent,Unnamed,Human,Crewmember,Crewman,Other/No Designation,Killed in a transporter accident,Star Trek: The Motion Picture,Unknown/Other
74,2285,#CC0000,"Preston, Peter",Human,Engineer's assistant/Cadet,Midshipman,Other/No Designation,Received fatal burns as a result of the USS Reliant's attack,Star Trek II: The Wrath of Khan,Red
75,2256,#B87333;,"Connor, Danby",Human,"Operations officer, USS Shenzhou",Ensign,Other/No Designation,Killed by explosive decompression,"DIS: ""Battle at the Binary Stars""",Yellow
76,2256,goldenrod;,"Georgiou, Philippa",Human,"Commanding officer, USS Shenzhou",Captain,Other/No Designation,Killed by T'Kuvma by stabbing,"DIS: ""Battle at the Binary Stars""",Yellow
77,2256,goldenrod;,"Maranville, Steven",Human,"Commanding officer, USS Yeager",Captain,Other/No Designation,Killed in the Battle of the Binary Stars,"DIS: ""Battle at the Binary Stars"", ""Choose Your Pain""",Yellow
78,2256,#B87333,"Tyler, Ash",Human,"Officer, USS Yeager",Lieutenant,Other/No Designation,Used as parts for the choH'a' when Voq assumed his identity,"DIS: ""Battle at the Binary Stars"", ""Vaulting Ambition""",Yellow
79,2256,#C0C0C0,Straal,Human,"Science officer, USS Glenn",Unknown rank,Other/No Designation,Killed when a basidiosac rupture occurred during a test flight,"DIS: ""Context Is for Kings""",Gray
80,2257,#98925E,Garrovick,Human,"Commanding officer,USS Farragut",Other/No Rank,Other/No Designation,Killed by the dikironium cloud creature,"TOS: ""Obsession""",Yellow
81,2266,#98925E,"Nellis, Tom",Human,"First officer,Antares",Lieutenant,Other/No Designation,Killed when Charlie Evans destroyed the Antares,"TOS: ""Charlie X""",Yellow
82,2266,#98925E,Ramart,Human,"Commanding officer,Antares",Other/No Rank,Other/No Designation,Killed when Charlie Evans destroyed the Antares,"TOS: ""Charlie X""",Yellow
83,2266,#F6DBD0,Hansen,Human,"Commander,Outpost 4",Commander,Other/No Designation,Killed by the Romulans during the Neutral Zone Incursion,"TOS: ""Balance of Terror""",Yellow
84,2267,#B59C5A;,"Decker, Matt",Human,"Commanding officer,USS Constellation",Commodore,Other/No Designation,Kamikaze maneuver of a shuttlecraft into the planet killer,"TOS: ""The Doomsday Machine""",Yellow
85,2267,#B59C5A;,Travers,Human,Leader of the Cestus III colony contingent,Commodore,Other/No Designation,Killed by the Gorn,"TOS: ""Arena""",Yellow
86,2268,#62749A;,Carter,Human,"Chief medical officer,USS Exeter",Commander,Other/No Designation,Died from a bacterial disease,"TOS: ""The Omega Glory""",Green/Blue
87,2268,#B59C5A;,Harris,Human,"Commanding officer,USS Excalibur",Other/No Rank,Other/No Designation,Died when the M-5 multitronic unit assaulted the ship,"TOS: ""The Ultimate Computer""",Yellow
88,2270s,#F79C07;,Branch,Human,"Commanding officer,Epsilon IX station",Commander,Other/No Designation,Absorbed by V'Ger,Star Trek: The Motion Picture,Yellow
89,2270s,#F79C07;,Unidentified,Human,Epsilon IX station,Lieutenant,Other/No Designation,Absorbed by V'Ger,Star Trek: The Motion Picture,Yellow
90,2270s,#F79C07;,Unidentified,Human,"Technician,Epsilon IX station",Crewman,Other/No Designation,Absorbed by V'Ger,Star Trek: The Motion Picture,Yellow
91,2270s,#F79C07;,Unidentified,,Epsilon IX station,Crewman,Other/No Designation,Absorbed by V'Ger,Star Trek: The Motion Picture,Yellow
92,2270s,transparent,Three unidentified,Humans,"Technicians,Epsilon IX station",Crewman,Other/No Designation,Absorbed by V'Ger,Star Trek: The Motion Picture,Unknown/Other
93,2267 | 2285,#A01502,"McGivers, Marla",Human,"Historian,Inactive",Lieutenant,Other/No Designation,Killed on Ceti Alpha VReported in 2285,Star Trek II: The Wrath of Khan,Red
94,2285,#FEFEFE;,"Esteban, J.T.",Human,"Commanding officer,USS Grissom",Other/No Rank,Other/No Designation,Killed in an attack by Commander Kruge's Klingon Bird-of-Prey,Star Trek III: The Search for Spock,White
95,2285,#FEFEFE;,"Terrell, Clark",Human,"Commanding officer,USS Reliant",Other/No Rank,Other/No Designation,Suicide,Star Trek II: The Wrath of Khan,White
96,2293,#0A0000,Burke,Human,YeomanUSS Enterprise-A,"Petty officer, 1st class",Other/No Designation,Killed by Valeris with a phaser on stun,Star Trek VI: The Undiscovered Country,Black
97,2293,#0A0000,Samno,Human,YeomanUSS Enterprise-A,Crewman,Other/No Designation,Killed by Valeris with a phaser on stun,Star Trek VI: The Undiscovered Country,Black
98,2293,gold,West,Human,Starfleet Command,Colonel,Other/No Designation,Fell through a window after being shot by Scotty,Star Trek VI: The Undiscovered Country,Yellow
99,2293,#A7A0AB,Unnamed,Human,NavigatorUSS Enterprise-B,Lieutenant Commander,Other/No Designation,Killed when Enterprise was caught in the Nexus,Star Trek Generations,Gray
100,2294,transparent,"Franklin, Matt",,USS Jenolan,Ensign,Other/No Designation,His pattern in the pattern buffer was unretrievable in 2369 after having degraded by 53 percent,"TNG: ""Relics""",Unknown/Other
101,2344,#FEFEFE,"Castillo, Richard",Human,HelmsmanActing Commanding Officer,Lieutenant junior grade,Other/No Designation,Listed as KIA after Battle of Narendra III,"TNG: ""Yesterday's Enterprise""",White
102,2344,#0A0000,Fredericks,Human,Acting Helmsman,Enlisted,Other/No Designation,Listed as KIA after Battle of Narendra III,"TNG: ""Yesterday's Enterprise""",Black
103,2344,#0A0000,Parker,Human,Acting Operations Officer,Enlisted,Other/No Designation,Listed as KIA after Battle of Narendra III,"TNG: ""Yesterday's Enterprise""",Black
104,2349,#AD722C,"Yar, Natasha",Human,Acting Chief Tactical Officer,Lieutenant,Other/No Designation,Killed while trying to escape Romulan custody with her daughter Sela,"TNG: ""Redemption II""",Yellow
105,2366,#FEFEFE,"Garrett, Rachel",Human,Commanding Officer,Captain,Other/No Designation,Killed during a battle of the Federation-Klingon War in an alternate timeline,"TNG: ""Yesterday's Enterprise""",White
106,2364,#AD722C,Ramos,Human,Security officer,Crewman,Other/No Designation,Killed by Korris and Konmel,"TNG: ""Heart of Glory""",Yellow
107,2364,#AD722C,Singh,Human,Assistant chief engineer,Lieutenant junior grade,Other/No Designation,Killed by the Beta Renner cloud,"TNG: ""Lonely Among Us""",Yellow
108,2364,#AD722C,"Yar, Natasha",Human,Chief Tactical OfficerSecurity Chief,Lieutenant,Other/No Designation,Killed by Armus on Vagra II,"TNG: ""Skin of Evil""",Yellow
109,2364,#AD722C,Unidentified,Human,Security officer,Crewman,Other/No Designation,Killed by Korris and Konmel,"TNG: ""Heart of Glory""",Yellow
110,2365,#8C212B,Haskell,Human,Flight controller,Ensign,Other/No Designation,Killed by Nagilum,"TNG: ""Where Silence Has Lease""",Red
111,2365,#8C212B,"Picard, Jean-Luc",Human,Commanding Officer,Captain,Other/No Designation,"Traveled six hours back in time, where he was killed by his past self.","TNG: ""Time Squared""",Red
112,2366,#112959,"Aster, Marla",Human,Archaeology and anthropology officer,Lieutenant,Other/No Designation,Killed by a Koinonian bomb,"TNG: ""The Bonding""",Green/Blue
113,2366,transparent,"Brooks, Marc",Human,Crewman,Crewman,Other/No Designation,Died in an accident,"TNG: ""The Loss""",Unknown/Other
114,2366,transparent,Sandoval,,Crewman,Crewman,Other/No Designation,Hit by a disruptor blast; died two weeks later,"TNG: ""Ethics""",Unknown/Other
115,2367,#AD722C,Van Mayter,Human,Engineer,Lieutenant junior grade,Other/No Designation,Partially fell into the deck beneath her,"TNG: ""In Theory""",Yellow
116,2368,#8C212B,Monroe,Human,Flight controller,Lieutenant junior grade,Other/No Designation,Killed when the conn station exploded,"TNG: ""Disaster""",Red
117,2369,#AD722C,Corelki,Human,Security officer,Ensign,Other/No Designation,Killed by Bosus,"TNG: ""Descent""",Yellow
118,2369,#AD722C,Franklin,Human,Security officer,Crewman,Other/No Designation,Killed by rogue Borg,"TNG: ""Descent""",Yellow
119,2369,#8C212B,"Hagler, Edward",Human,,Lieutenant,Other/No Designation,Killed when his blood transformed into a liquid polymer,"TNG: ""Schisms""",Red
120,2369,#112959,Richardson,Human,Science officer,Crewman,Other/No Designation,Killed in a firestorm on Bersallis III,"TNG: ""Lessons""",Green/Blue
121,2369,#AD722C,Unnamed,Human,Security officer,Ensign,Other/No Designation,Killed by rogue Borg,"TNG: ""Descent""",Yellow
122,2370,#8C212B,Dern,Human,Flight controller,Ensign,Other/No Designation,Killed by a devolved Worf,"TNG: ""Genesis""",Red
123,2370,#AD722C,"Kwan, Daniel",Human/Napean Hybrid,Engineer,Lieutenant junior grade,Other/No Designation,Committed suicide by jumping into a plasma stream,"TNG: ""Eye of the Beholder""",Yellow
124,2370,#AD722C,Sito Jaxa,Bajoran,Operations Officer,Ensign,Other/No Designation,Debris of escape pod found after covert assignment into Cardassian space; listed as KIA,"TNG: ""Lower Decks""",Yellow
125,2370,#AD722C,Unnamed,Human,Security officer,Crewman,Other/No Designation,Killed by mercenaries on Barradas III,"TNG: ""Gambit, Part I""",Yellow
126,"April 4,2063",#AD722C,Eiger,Human,Engineer,Lieutenant,Other/No Designation,Assimilated by the Borg,Star Trek: First Contact,Yellow
127,"April 4,2063",transparent,Lynch,Human,,Ensign,Other/No Designation,Assimilated by the Borg;later shot by Jean-Luc Picard,Star Trek: First Contact,Unknown/Other
128,"April 4,2063",#AD722C,"Porter, Paul",Human,Engineer,Lieutenant,Other/No Designation,Assimilated by the Borg,Star Trek: First Contact,Yellow
129,"April 4,2063",#AD722C,Unidentified,Human,Security officer,Ensign,Other/No Designation,Assimilated by the Borg;killed by Jean-Luc Picard (mercy-kill),Star Trek: First Contact,Yellow
130,"April 4,2063",#AD722C,Unidentified,Human,Crewman,Crewman,Other/No Designation,Assimilated by the Borg,Star Trek: First Contact,Yellow
131,"April 4,2063",#143F48,Unidentified,Bolian,Engineer,Crewman,Other/No Designation,Assimilated by the Borg,Star Trek: First Contact,Green/Blue
132,"April 4,2063",#5B1414,Unidentified,Human,Security officer,Lieutenant,Other/No Designation,Assimilated by the Borg,Star Trek: First Contact,Red
133,"April 5,2063",#5B1414,Hawk,Human,Flight controller,Lieutenant,Other/No Designation,Assimilated by the Borg; later shot by Worf,Star Trek: First Contact,Red
134,2379,#5B1414,Branson,Human,Flight controller,Lieutenant,Other/No Designation,"""Blown out"" into space after bridge decompression during the Battle in the Bassen Rift",Star Trek Nemesis,Red
135,2379,#AD722C,Data,Android,Operations Officer,Lieutenant Commander,Other/No Designation,Destroyed during the destruction of the Scimitar,Star Trek Nemesis,Yellow
136,2369,#AD722C,Aquino,Human,"Engineer,Deep Space 9",Ensign,Other/No Designation,Killed by Neela,"DS9: ""In the Hands of the Prophets""",Yellow
137,2371,#AD722C,"O'Brien, Miles",Human,"Chief of Operations,Deep Space 9",Senior chief petty officer,Other/No Designation,Deliberately contaminated himself with delta-series radioisotopes; replaced by future self,"DS9: ""Visionary""",Yellow
138,2371,#8C212B,Unnamed,Human,Deep Space 9,Crewman,Other/No Designation,Vaporized in Ops by level three of Dukat's counter-insurgency program,"DS9: ""Civil Defense""",Red
139,2371,#8C212B,Unnamed,Human,"Helmsman,USS Defiant",Unknown Rank,Other/No Designation,Killed during the ship's first battle with the Jem'Hadar,"DS9: ""The Search, Part I""",Red
140,2371,#AD722C,Unnamed,Human,"Security officer,USS Defiant",Unknown Rank,Other/No Designation,Killed by Krajensky Changeling,"DS9: ""The Adversary""",Yellow
141,2372,transparent,Bartlett,,USS Defiant,Crewman,Other/No Designation,Killed in the battle with the USS Lakota,"DS9: ""Paradise Lost""",Unknown/Other
142,2372,transparent,Boyce,,USS Defiant,Crewman,Other/No Designation,Killed in an attack by the Jem'Hadar in a gas giant,"DS9: ""Starship Down""",Unknown/Other
143,2372,transparent,Peterson,,USS Defiant,Crewman,Other/No Designation,Killed in an attack by the Jem'Hadar in a gas giant,"DS9: ""Starship Down""",Unknown/Other
144,2372,#AD722C,Ramirez,Human,"Security officer,USS Defiant",Ensign,Other/No Designation,Killed on Vandros IV by rebel Jem'Hadar,"DS9: ""To the Death""",Yellow
145,2372,transparent,Ramsey,,USS Defiant,Crewman,Other/No Designation,Killed in the battle with the USS Lakota,"DS9: ""Paradise Lost""",Unknown/Other
146,2372,#AD722C,Unnamed,Human,"Security officer,USS Defiant",Ensign,Other/No Designation,Killed by Jem'Hadar on Vandros IV,"DS9: ""To the Death""",Yellow
147,2373,#AD722C,Amaro,Human,"Security officer,Deep Space 9",Crewman,Other/No Designation,Killed by Elim Garak under the influence of psychotropic drugs,"DS9: ""Empok Nor""",Yellow
148,2373,#8C212B,Bertram,Human,Deep Space 9,Unknown Rank,Other/No Designation,Was in a runabout destroyed by the Jem'Hadar,"DS9: ""The Ship""",Red
149,2373,#AD722C,Boq'ta,Bolian,"Engineer,Deep Space 9",Crewman,Other/No Designation,Killed by a Cardassian Third Battalion soldier under the influence of psychotropic drugs,"DS9: ""Empok Nor""",Yellow
150,2373,#8C212B,Hoya,Benzite,Deep Space 9,Ensign,Other/No Designation,Was in a runabout destroyed by the Jem'Hadar,"DS9: ""The Ship""",Red
151,2373,#AD722C,"Muniz, Enrique",Human,"Enlisted,USS Defiant",Crewman,Other/No Designation,Bled to death on Torga IV,"DS9: ""The Ship""",Yellow
152,2373,#AD722C,Pechetti,Human,"Engineer,Deep Space 9",Crewman,Other/No Designation,Killed by a Cardassian Third Battalion soldier under the influence of psychotropic drugs,"DS9: ""Empok Nor""",Yellow
153,2373,#AD722C,Rooney,Human,Deep Space 9,Unknown Rank,Other/No Designation,Was in a runabout destroyed by the Jem'Hadar,"DS9: ""The Ship""",Yellow
154,2373,#AD722C,Stolzoff,Human,"Security officer,Deep Space 9",Crewman,Other/No Designation,Killed by a Cardassian Third Battalion soldier under the influence of psychotropic drugs,"DS9: ""Empok Nor""",Yellow
155,2373,#143F48,T'Lor,Tiburonian,Deep Space 9,Unknown Rank,Other/No Designation,Killed by Jem'Hadar on Torga IV,"DS9: ""The Ship""",Green/Blue
156,2373,#AD722C,Unnamed,Human,Deep Space 9,Unknown Rank,Other/No Designation,Killed when the USS Yukon was destroyed by the Bashir Changeling's bomb.,"DS9: ""By Inferno's Light""",Yellow
157,2373,#AD722C,Unnamed,Human,Deep Space 9,Unknown Rank,Other/No Designation,Killed when the USS Yukon was destroyed by the Bashir Changeling's bomb.,"DS9: ""By Inferno's Light""",Yellow
158,2373,#143F48,Unnamed,Human,Deep Space 9,Unknown Rank,Other/No Designation,Killed when the USS Yukon was destroyed by the Bashir Changeling's bomb.,"DS9: ""By Inferno's Light""",Green/Blue
159,2374,#143F48,"Dax, Jadzia",Trill,"Science officer,Deep Space 9",Lieutenant Commander,Other/No Designation,Killed by Dukat (controlled by a Pah-wraith),"DS9: ""Tears of the Prophets""",Green/Blue
160,2374,#AD722C,"Gordon, Paul",Human,"Security officer, It is unclear if Gordon was assigned to the Defiant or Starbase 375.",Ensign,Other/No Designation,Killed by the Jem'Hadar,"DS9: ""Rocks and Shoals""",Yellow
161,2375,#AD722C,"Brott, Zim",Bolian,"Enlisted,Deep Space 9",Petty Officer,Other/No Designation,Killed by Chu'lak,"DS9: ""Field of Fire""",Yellow
162,2375,#AD722C,"Ilario, Hector",Human,"Helmsman,Deep Space 9",Lieutenant junior grade,Other/No Designation,Killed by Chu'lak,"DS9: ""Field of Fire""",Yellow
163,2375,#143F48,"Vanderweg, Greta",Human,"Science officer,Deep Space 9",Lieutenant commander,Other/No Designation,Killed by Chu'lak,"DS9: ""Field of Fire""",Green/Blue
164,2375,#5B1414,"Sisko, Benjamin",Human,"Commanding officer,Deep Space 9",Captain,Other/No Designation,Fell with Dukat in the Fire Caves on Bajor; listed as MIA,"DS9: ""What You Leave Behind""",Red
165,2373,#5B1414,Ramirez,,Commanding officer,Captain,Other/No Designation,Died due to a punctured lung,"DS9: ""Valiant""",Red
166,2374,grey,"Farris, Karen",Human,XORed Squad Cadet,Commander,Other/No Designation,Died in the destruction of the USS Valiant,"DS9: ""Valiant""",Gray
167,2374,grey,Parton,Human,EngineerRed Squad Cadet,Ensign,Other/No Designation,Died in the destruction of the USS Valiant,"DS9: ""Valiant""",Gray
168,2374,grey,"Shepard, Riley",Human,HelmsmanRed Squad Cadet,Lieutenant,Other/No Designation,Died in the destruction of the USS Valiant,"DS9: ""Valiant""",Gray
